,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
228,228.0,"(-1x + (-2)) = (3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1/2,(= (x) (/ (1) (2))),228.0,unknown,unknown,unknown
220,220.0,"((1 / x) + 2) = 3
",(= (+ (/ (1) (x)) (2)) (3)),True,x = 1,(= (x) (1)),220.0,unknown,unknown,unknown
267,267.0,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3))),267.0,unknown,unknown,unknown
233,233.0,"(-1x + (-2)) = (3 + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 5/3,(= (x) (/ (5) (3))),233.0,unknown,unknown,unknown
89,89.0,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),89.0,unknown,unknown,unknown
31,31.0,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3)),31.0,(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x))))|(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x))))|(= (* (- (3) (4)) (x)) (-3))|(= (x) (3)),11,20.476190476190474
221,221.0,"(1 + (2 / x)) = (-3)
",(= (+ (1) (/ (2) (x))) (-3)),True,x = -1/2,(= (x) (/ (-1) (2))),221.0,unknown,unknown,unknown
170,170.0,"1 = (-2x + 3)
",(= (1) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1)),170.0,unknown,unknown,unknown
21,21.0,"((-1) / 2) = x
",(= (/ (-1) (2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2))),21.0,unknown,unknown,unknown
270,270.0,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3))),270.0,unknown,unknown,unknown
197,197.0,"(((-1) / x) + 2) = (-3)
",(= (+ (/ (-1) (x)) (2)) (-3)),True,x = 1/5,(= (x) (/ (1) (5))),197.0,unknown,unknown,unknown
7,7.0,"(-1) = ((-2) + ((-3) / x))
",(= (-1) (+ (-2) (/ (-3) (x)))),True,x = -3,(= (x) (-3)),7.0,(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4))|(= (+ (- (* (-1) (x)) (* (3) (x))) (-2)) (-4))|(= (+ (* (-4) (x)) (-2)) (-4))|(= (x) (/ (1) (2))),9,27.678571428571427
1,1.0,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),1.0,(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x))))|(= (+ (- (* (2) (x)) (* (-4) (x))) (1)) (-3))|(= (+ (* (6) (x)) (1)) (-3))|(= (x) (/ (-2) (3))),12,49.76
103,103.0,"((-1) - 2) = (3x - 4x)
",(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),True,x = 3,(= (x) (3)),103.0,unknown,unknown,unknown
40,40.0,"1 = (2x + 3)
",(= (1) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1)),40.0,(= (-1) (+ (* (2) (x)) (3)))|(= (+ (* (2) (x)) (3)) (-1))|(= (x) (-2)),8,22.652173913043477
200,200.0,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1)),200.0,unknown,unknown,unknown
202,202.0,"-1x = ((-2x + 3) + 4)
",(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4))),True,x = 7,(= (x) (7)),202.0,unknown,unknown,unknown
119,119.0,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),True,x = 1/2,(= (x) (/ (1) (2))),119.0,unknown,unknown,unknown
222,222.0,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3)),222.0,unknown,unknown,unknown
252,252.0,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3)),252.0,unknown,unknown,unknown
248,248.0,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = -5/3,(= (x) (/ (-5) (3))),248.0,unknown,unknown,unknown
271,271.0,"x = ((-1) / (-2))
",(= (x) (/ (-1) (-2))),True,x = 1/2,(= (x) (/ (1) (2))),271.0,unknown,unknown,unknown
172,172.0,"(-1) = (2x + 3)
",(= (-1) (+ (* (2) (x)) (3))),True,x = -2,(= (x) (-2)),172.0,unknown,unknown,unknown
239,239.0,"(-1) = (2 + (3 / x))
",(= (-1) (+ (2) (/ (3) (x)))),True,x = -1,(= (x) (-1)),239.0,unknown,unknown,unknown
51,51.0,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),True,x = 2,(= (x) (2)),51.0,(= (+ (* (1) (x)) (-2)) (-3))|(= (- (+ (* (1) (x)) (-2)) (-2)) (- (-3) (-2)))|(= (x) (-1)),8,10.272727272727273
219,219.0,"(1 + 2x) = (-3)
",(= (+ (1) (* (2) (x))) (-3)),True,x = -2,(= (x) (-2)),219.0,unknown,unknown,unknown
260,260.0,"1 = ((2 / x) + 3)
",(= (1) (+ (/ (2) (x)) (3))),True,x = -1,(= (x) (-1)),260.0,unknown,unknown,unknown
69,69.0,"(-1x + (-2)) = (-3)
",(= (+ (* (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1)),69.0,(= (+ (-1) (2)) (/ (3) (x)))|(= (x) (3)),2,15.875
266,266.0,"(1x + (-2)) = 3
",(= (+ (* (1) (x)) (-2)) (3)),True,x = 5,(= (x) (5)),266.0,unknown,unknown,unknown
235,235.0,"(-1) = 2x
",(= (-1) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2))),235.0,unknown,unknown,unknown
224,224.0,"(1x + 2) = 3
",(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1)),224.0,unknown,unknown,unknown
139,139.0,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),True,x = -1/2,(= (x) (/ (-1) (2))),139.0,unknown,unknown,unknown
131,131.0,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),True,x = -1,(= (x) (-1)),131.0,unknown,unknown,unknown
272,272.0,"(1x + (-2)) = (-3)
",(= (+ (* (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1)),272.0,unknown,unknown,unknown
160,160.0,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
",(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -4,(= (x) (-4)),160.0,unknown,unknown,unknown
42,42.0,"1 = (((-2) / x) + (-3))
",(= (1) (+ (/ (-2) (x)) (-3))),True,x = -1/2,(= (x) (/ (-1) (2))),42.0,unknown,unknown,unknown
140,140.0,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1)),140.0,unknown,unknown,unknown
118,118.0,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),True,x = 1,(= (x) (1)),118.0,unknown,unknown,unknown
134,134.0,"(-1) = ((-2) + -3x)
",(= (-1) (+ (-2) (* (-3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),134.0,unknown,unknown,unknown
27,27.0,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),True,x = 1/2,(= (x) (/ (1) (2))),27.0,unknown,unknown,unknown
88,88.0,"(1 + -2x) = (-3)
",(= (+ (1) (* (-2) (x))) (-3)),True,x = 2,(= (x) (2)),88.0,unknown,unknown,unknown
166,166.0,"-1x = ((2 + -3x) - 4)
",(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4))),True,x = -1,(= (x) (-1)),166.0,unknown,unknown,unknown
177,177.0,"(1x / x) = 2x
",(= (/ (* (1) (x)) (x)) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),177.0,unknown,unknown,unknown
59,59.0,"(((-1) / x) + 2) = 3
",(= (+ (/ (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1)),59.0,(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4)))|(= (+ (- (* (-1) (x)) (* (-3) (x))) (2)) (0))|(= (+ (* (2) (x)) (2)) (0))|(= (x) (-1)),14,27.5
33,33.0,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),True,x = -1,(= (x) (-1)),33.0,(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4)))|(= (+ (- (* (-3) (x)) (* (2) (x))) (-4)) (1))|(= (+ (* (-5) (x)) (-4)) (1))|(= (x) (-1)),12,35.666666666666664
91,91.0,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),True,x = 1/2,(= (x) (/ (1) (2))),91.0,unknown,unknown,unknown
121,121.0,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),121.0,unknown,unknown,unknown
169,169.0,"((-1) - 2) = -3x
",(= (- (-1) (2)) (* (-3) (x))),True,x = 1,(= (x) (1)),169.0,unknown,unknown,unknown
261,261.0,"1x = ((-2) - 3)
",(= (* (1) (x)) (- (-2) (3))),True,x = -5,(= (x) (-5)),261.0,unknown,unknown,unknown
216,216.0,"((-1x - 2) + 3x) = 4
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = 3,(= (x) (3)),216.0,unknown,unknown,unknown
137,137.0,"((1 + 2x) + 3) = 4x
",(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = 2,(= (x) (2)),137.0,unknown,unknown,unknown
199,199.0,"((-1) + 2) = (3 / x)
",(= (+ (-1) (2)) (/ (3) (x))),True,x = 3,(= (x) (3)),199.0,unknown,unknown,unknown
86,86.0,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 2/3,(= (x) (/ (2) (3))),86.0,unknown,unknown,unknown
133,133.0,"x = ((1 + 2) / 3)
",(= (x) (/ (+ (1) (2)) (3))),True,x = 1,(= (x) (1)),133.0,unknown,unknown,unknown
62,62.0,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4/3,(= (x) (/ (-4) (3))),62.0,(= (1) (+ (-2) (* (-3) (x))))|(= (+ (-2) (* (-3) (x))) (1))|(= (+ (* (-3) (x)) (- (-2) (-2))) (- (1) (-2)))|(= (x) (-1)),12,22.47826086956522
105,105.0,"1x = 2
",(= (* (1) (x)) (2)),True,x = 2,(= (x) (2)),105.0,unknown,unknown,unknown
230,230.0,"(1 + ((-2) / x)) = 3
",(= (+ (1) (/ (-2) (x))) (3)),True,x = -1,(= (x) (-1)),230.0,unknown,unknown,unknown
50,50.0,"1x = (2 + 3)
",(= (* (1) (x)) (+ (2) (3))),True,x = 5,(= (x) (5)),50.0,(= (- (1) (* (2) (x))) (* (-3) (x)))|(= (+ (- (1) (* (2) (x))) (* (2) (x))) (+ (* (-3) (x)) (* (2) (x))))|(= (* (+ (-3) (2)) (x)) (1))|(= (x) (-1)),14,26.48148148148148
54,54.0,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1)),54.0,unknown,unknown,unknown
37,37.0,"((1 + 2) * x) = 3
",(= (* (+ (1) (2)) (x)) (3)),True,x = 1,(= (x) (1)),37.0,(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4)))|(= (+ (* (1) (x)) (-2)) (+ (4) (* (3) (x))))|(= (+ (- (* (3) (x)) (* (x) (1))) (4)) (-2))|(= (+ (* (2) (x)) (4)) (-2))|(= (x) (-3)),13,35.638888888888886
212,212.0,"(-1x + (-2)) = (3 + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1)),212.0,unknown,unknown,unknown
244,244.0,"(1 / (-2)) = x
",(= (/ (1) (-2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2))),244.0,unknown,unknown,unknown
141,141.0,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1)),141.0,unknown,unknown,unknown
231,231.0,"-1x = ((2x - 3) - 4)
",(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7/3,(= (x) (/ (7) (3))),231.0,unknown,unknown,unknown
157,157.0,"(1 + 2x) = (3 + -4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),157.0,unknown,unknown,unknown
75,75.0,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 5,(= (x) (5)),75.0,(= (* (1) (x)) (+ (2) (3)))|(= (* (1) (x)) (+ (2) (3)))|(= (x) (5)),3,3.25
275,275.0,"((-1x - 2) - 3x) = 4
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -3/2,(= (x) (/ (-3) (2))),275.0,unknown,unknown,unknown
274,274.0,"((-1) / x) = 2
",(= (/ (-1) (x)) (2)),True,x = -1/2,(= (x) (/ (-1) (2))),274.0,unknown,unknown,unknown
2,,,,,,,,(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x)))|(= (* (/ (-5) (- (* (4) (x)) (* (-1) (x)))) (- (* (4) (x)) (* (-1) (x)))) (* (1) (- (* (4) (x)) (* (-1) (x)))))|(= (* (- (4) (-1)) (x)) (-5))|(= (x) (-1)),26,32.21212121212121
3,,,,,,,,(= (+ (* (-1) (x)) (2)) (3))|(= (+ (* (-1) (x)) (2)) (3))|(= (+ (* (-1) (x)) (2)) (3))|(= (x) (-1)),6,20.714285714285715
4,,,,,,,,(= (/ (-1) (-2)) (x))|(= (/ (-1) (-2)) (x))|(= (x) (/ (1) (2))),3,3.25
5,,,,,,,,(= (1) (* (2) (x)))|(= (1) (* (2) (x)))|(= (* (2) (x)) (1))|(= (x) (/ (1) (2))),5,11.583333333333334
6,,,,,,,,(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x))))|(= (+ (- (* (4) (x)) (* (-1) (x))) (-3)) (2))|(= (+ (* (5) (x)) (-3)) (2))|(= (x) (1)),12,34.65714285714286
8,,,,,,,,(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x))))|(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x))))|(= (* (- (-3) (4)) (x)) (-1))|(= (x) (/ (1) (7))),11,19.45
9,,,,,,,,(= (-1) (+ (-2) (* (3) (x))))|(= (+ (-2) (* (3) (x))) (-1))|(= (+ (* (3) (x)) (- (-2) (-2))) (- (-1) (-2)))|(= (x) (/ (1) (3))),12,22.47826086956522
10,,,,,,,,(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x)))|(= (+ (- (* (4) (x)) (* (-1) (x))) (-1)) (- (- (* (-1) (x)) (-1)) (- (* (-1) (x)) (-1))))|(= (+ (* (5) (x)) (-1)) (- (- (* (-1) (x)) (-1)) (- (* (-1) (x)) (-1))))|(= (x) (/ (1) (5))),20,31.375
11,,,,,,,,(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4)))|(= (+ (* (1) (x)) (-2)) (+ (-4) (* (-3) (x))))|(= (+ (- (* (-3) (x)) (* (x) (1))) (-4)) (-2))|(= (+ (* (-4) (x)) (-4)) (-2))|(= (x) (/ (-1) (2))),13,38.666666666666664
12,,,,,,,,(= (1) (/ (-2) (x)))|(= (x) (-2)),2,13.857142857142858
14,,,,,,,,(= (+ (1) (/ (2) (x))) (3))|1|(= (x) (1)),5,44.888888888888886
16,,,,,,,,(= (-1) (+ (* (2) (x)) (-3)))|(= (+ (* (2) (x)) (-3)) (-1))|(= (x) (1)),8,22.652173913043477
18,,,,,,,,(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4)))|(= (+ (- (* (3) (x)) (* (-1) (x))) (-4)) (-2))|(= (+ (* (4) (x)) (-4)) (-2))|(= (x) (/ (1) (2))),12,34.65714285714286
19,,,,,,,,(= (+ (/ (1) (x)) (2)) (3))|3|(= (x) (1)),5,22.782608695652176
20,,,,,,,,(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x)))|(= (+ (- (-4) (* (2) (x))) (* (2) (x))) (+ (* (4) (x)) (* (2) (x))))|(= (* (+ (4) (2)) (x)) (-4))|(= (x) (/ (-2) (3))),14,33.588235294117645
22,,,,,,,,(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (-1) (x))) (3)) (2))|(= (+ (* (-3) (x)) (3)) (2))|(= (x) (/ (1) (3))),12,36.67567567567568
23,,,,,,,,(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4)))|(= (+ (- (* (-3) (x)) (* (-2) (x))) (-4)) (-1))|(= (+ (* (-1) (x)) (-4)) (-1))|(= (x) (-3)),12,35.666666666666664
24,,,,,,,,(= (+ (1) (/ (2) (x))) (-3))|1|(= (x) (/ (-1) (2))),6,45.869565217391305
25,,,,,,,,(= (1) (+ (* (-2) (x)) (3)))|(= (+ (* (-2) (x)) (3)) (1))|(= (x) (1)),8,22.652173913043477
26,,,,,,,,(= (/ (-1) (2)) (x))|(= (/ (-1) (2)) (x))|(= (x) (/ (-1) (2))),3,3.25
28,,,,,,,,(= (+ (/ (-1) (x)) (2)) (-3))|3|(= (x) (/ (1) (5))),6,41.857142857142854
29,,,,,,,,(= (-1) (+ (-2) (/ (-3) (x))))|(= (x) (-3)),4,26.85185185185185
30,,,,,,,,(= (* (/ (-1) (x)) (x)) (* (-2) (x)))|(= (* (/ (-1) (x)) (x)) (* (-2) (x)))|(= (* (-2) (x)) (-1))|(= (x) (/ (1) (2))),5,21.772727272727273
32,,,,,,,,(= (1) (+ (* (2) (x)) (3)))|(= (+ (* (2) (x)) (3)) (1))|(= (x) (-1)),8,22.652173913043477
34,,,,,,,,(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4)))|(= (+ (- (x) (7)) (7)) (+ (0) (7)))|(= (x) (7)),8,18.57894736842105
35,,,,,,,,(= (+ (* (-1) (x)) (2)) (* (3) (x)))|(= (* (/ (2) (- (* (3) (x)) (* (-1) (x)))) (- (* (3) (x)) (* (-1) (x)))) (* (1) (- (* (3) (x)) (* (-1) (x)))))|(= (* (- (3) (-1)) (x)) (2))|(= (x) (/ (1) (2))),28,25.962962962962962
38,,,,,,,,(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x)))|(= (* (/ (5) (- (* (-4) (x)) (* (-1) (x)))) (- (* (-4) (x)) (* (-1) (x)))) (* (1) (- (* (-4) (x)) (* (-1) (x)))))|(= (* (- (-4) (-1)) (x)) (5))|(= (x) (/ (-5) (3))),26,30.161290322580644
39,,,,,,,,(= (x) (/ (-1) (-2)))|(= (x) (/ (-1) (-2)))|(= (x) (/ (1) (2))),2,1.0
41,,,,,,,,(= (-1) (+ (2) (/ (3) (x))))|1|(= (x) (-1)),5,38.87179487179487
44,,,,,,,,(= (1) (+ (/ (2) (x)) (3)))|0|(= (x) (-1)),5,38.87179487179487
45,,,,,,,,(= (+ (* (-1) (x)) (-2)) (-3))|(= (+ (* (-1) (x)) (-2)) (-3))|(= (+ (* (-1) (x)) (-2)) (-3))|(= (x) (1)),6,20.714285714285715
46,,,,,,,,(= (+ (* (1) (x)) (-2)) (3))|(= (- (+ (* (1) (x)) (-2)) (-2)) (- (3) (-2)))|(= (x) (5)),8,10.272727272727273
47,,,,,,,,(= (-1) (* (2) (x)))|(= (-1) (* (2) (x)))|(= (* (2) (x)) (-1))|(= (x) (/ (-1) (2))),5,11.583333333333334
48,,,,,,,,(= (+ (* (1) (x)) (2)) (3))|(= (+ (* (1) (x)) (2)) (3))|(= (+ (* (1) (x)) (2)) (3))|(= (x) (1)),6,10.454545454545455
53,,,,,,,,(= (1) (+ (/ (-2) (x)) (-3)))|0|(= (x) (/ (-1) (2))),6,36.83783783783784
56,,,,,,,,(= (-1) (+ (-2) (* (-3) (x))))|(= (+ (-2) (* (-3) (x))) (-1))|(= (+ (* (-3) (x)) (- (-2) (-2))) (- (-1) (-2)))|(= (x) (/ (-1) (3))),12,21.454545454545453
57,,,,,,,,(= (+ (-1) (/ (2) (x))) (3))|1|(= (x) (/ (1) (2))),6,43.86363636363637
58,,,,,,,,(= (+ (1) (* (-2) (x))) (-3))|(= (+ (1) (* (-2) (x))) (-3))|(= (+ (* (-2) (x)) (- (1) (1))) (- (-3) (1)))|(= (x) (2)),9,21.59090909090909
60,,,,,,,,(= (/ (* (1) (x)) (x)) (* (2) (x)))|(= (/ (* (1) (x)) (x)) (* (2) (x)))|(= (* (2) (x)) (1))|(= (x) (/ (1) (2))),5,15.6875
61,,,,,,,,(= (+ (/ (-1) (x)) (2)) (3))|3|(= (x) (-1)),5,28.82758620689655
63,,,,,,,,(= (1) (+ (/ (2) (x)) (-3)))|0|(= (x) (/ (1) (2))),6,36.83783783783784
65,,,,,,,,(= (- (-1) (2)) (* (-3) (x)))|(= (- (-1) (2)) (* (-3) (x)))|(= (* (-3) (x)) (-3))|(= (x) (1)),5,15.6875
66,,,,,,,,(= (* (1) (x)) (- (-2) (3)))|(= (* (1) (x)) (- (-2) (3)))|(= (x) (-5)),3,3.25
67,,,,,,,,(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4))|(= (+ (+ (* (-1) (x)) (* (3) (x))) (-2)) (4))|(= (+ (* (2) (x)) (-2)) (4))|(= (x) (3)),9,31.71875
71,,,,,,,,(= (x) (/ (+ (1) (2)) (3)))|(= (x) (/ (+ (1) (2)) (3)))|(= (x) (1)),5,4.0
73,,,,,,,,(= (* (1) (x)) (2))|(= (* (1) (x)) (2))|(= (x) (2)),3,0.5
77,,,,,,,,(= (* (+ (1) (2)) (x)) (3))|(= (* (+ (1) (2)) (x)) (3))|(= (x) (1)),5,15.6875
79,,,,,,,,(= (/ (1) (-2)) (x))|(= (/ (1) (-2)) (x))|(= (x) (/ (-1) (2))),3,3.25
80,,,,,,,,(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x)))|(= (+ (- (+ (3) (-1)) (* (2) (x))) (* (2) (x))) (+ (* (-4) (x)) (* (2) (x))))|(= (* (+ (-4) (2)) (x)) (2))|(= (x) (-1)),14,35.611111111111114
81,,,,,,,,(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4)))|(= (+ (- (* (-1) (x)) (* (2) (x))) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (+ (* (-3) (x)) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (x) (/ (7) (3))),24,27.142857142857142
