,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
128,128.0,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5))),128.0,(= (* (-1) (x)) (* (/ (2) (x)) (x)))|(= (* (-1) (x)) (/ (2) (/ (x) (x))))|(= (x) (-2)),5,32.84848484848485
273,273.0,"x = ((-1) / 2)
",(= (x) (/ (-1) (2))),True,x = -1/2,(= (x) (/ (-1) (2))),273.0,unknown,unknown,unknown
245,245.0,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3)),245.0,unknown,unknown,unknown
151,151.0,"((-1) + -2x) = (3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 3/5,(= (x) (/ (3) (5))),151.0,(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (-1) (x))) (4)) (-2))|(= (+ (* (-2) (x)) (4)) (-2))|(= (x) (3)),12,35.666666666666664
215,215.0,"(1 + 2x) = (3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 5,(= (x) (5)),215.0,unknown,unknown,unknown
38,38.0,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),True,x = -3,(= (x) (-3)),38.0,(= (x) (/ (- (1) (2)) (-3)))|(= (x) (/ (- (1) (2)) (-3)))|(= (x) (/ (1) (3))),3,3.25
155,155.0,"(-1) = (-2x + 3)
",(= (-1) (+ (* (-2) (x)) (3))),True,x = 2,(= (x) (2)),155.0,unknown,unknown,unknown
184,184.0,"((-1) / x) = ((-2) - 3)
",(= (/ (-1) (x)) (- (-2) (3))),True,x = 1/5,(= (x) (/ (1) (5))),184.0,(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x))))|(= (+ (- (* (-2) (x)) (* (4) (x))) (-1)) (3))|(= (+ (* (-6) (x)) (-1)) (3))|(= (x) (/ (-2) (3))),12,41.714285714285715
18,18.0,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3))),18.0,(= (/ (-1) (x)) (- (-2) (3)))|0|(= (x) (/ (1) (5))),4,33.88235294117647
164,164.0,"((1 / x) + (-2)) = 3
",(= (+ (/ (1) (x)) (-2)) (3)),True,x = 1/5,(= (x) (/ (1) (5))),164.0,unknown,unknown,unknown
192,192.0,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2))),192.0,(= (- (+ (1) (* (2) (x))) (3)) (* (-4) (x)))|(= (+ (- (* (-4) (x)) (* (2) (x))) (2)) (0))|(= (+ (* (-6) (x)) (2)) (0))|(= (x) (/ (1) (3))),10,30.677419354838708
211,211.0,"((-1) + 2x) = (3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -5,(= (x) (-5)),211.0,unknown,unknown,unknown
26,26.0,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2,(= (x) (-2)),26.0,(= (* (1) (x)) (- (* (-2) (x)) (3)))|(= (+ (- (* (1) (x)) (* (-2) (x))) (3)) (- (- (* (-2) (x)) (3)) (- (* (-2) (x)) (3))))|(= (+ (* (3) (x)) (3)) (- (- (* (-2) (x)) (3)) (- (* (-2) (x)) (3))))|(= (x) (-1)),20,24.2
126,126.0,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2))),126.0,(= (* (-1) (x)) (+ (* (2) (x)) (3)))|(= (* (- (-1) (2)) (x)) (3))|(= (x) (-1)),8,25.692307692307693
143,143.0,"(1x + 2) = ((-3) + -4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1)),143.0,unknown,unknown,unknown
81,81.0,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1)),81.0,(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x))))|(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (x) (1))) (3)) (-2))|(= (+ (* (-5) (x)) (3)) (-2))|(= (x) (1)),13,34.628571428571426
112,112.0,"((-1) + 2x) = ((-3) + 4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1)),112.0,(= (/ (1) (x)) (+ (2) (3)))|0|(= (x) (/ (1) (5))),4,27.857142857142858
53,53.0,"1 = -2x
",(= (1) (* (-2) (x))),True,x = -1/2,(= (x) (/ (-1) (2))),53.0,unknown,unknown,unknown
132,132.0,"(1 + ((-2) / x)) = (-3)
",(= (+ (1) (/ (-2) (x))) (-3)),True,x = 1/2,(= (x) (/ (1) (2))),132.0,(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4)))|(= (* (+ (-1) (3)) (x)) (6))|(= (x) (3)),10,31.6875
22,22.0,"((-1) / x) = (-2)
",(= (/ (-1) (x)) (-2)),True,x = 1/2,(= (x) (/ (1) (2))),22.0,(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4)))|(= (+ (- (* (2) (x)) (* (3) (x))) (-1)) (4))|(= (+ (* (-1) (x)) (-1)) (4))|(= (x) (-5)),12,25.53846153846154
104,104.0,"1 = (((-2) / x) + 3)
",(= (1) (+ (/ (-2) (x)) (3))),True,x = 1,(= (x) (1)),104.0,unknown,unknown,unknown
204,204.0,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3))),204.0,unknown,unknown,unknown
55,55.0,"-1x = (-2)
",(= (* (-1) (x)) (-2)),True,x = 2,(= (x) (2)),55.0,(= (1) (+ (2) (* (-3) (x))))|(= (+ (2) (* (-3) (x))) (1))|(= (+ (* (-3) (x)) (- (2) (2))) (- (1) (2)))|(= (x) (/ (1) (3))),12,22.47826086956522
39,39.0,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1)),39.0,(= (1) (+ (-2) (/ (-3) (x))))|1|(= (x) (-1)),5,38.87179487179487
49,49.0,"(-1x + 2x) = ((-3) + 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = 1,(= (x) (1)),49.0,(= (/ (* (-1) (x)) (-2)) (/ (3) (-4)))|(= (* (/ (x) (2)) (2)) (/ (-3) (2)))|(= (x) (/ (-3) (2))),5,21.772727272727273
253,253.0,"-1x = 2
",(= (* (-1) (x)) (2)),True,x = -2,(= (x) (-2)),253.0,unknown,unknown,unknown
25,25.0,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -5,(= (x) (-5)),25.0,(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x))))|(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (x) (1))) (-3)) (2))|(= (+ (* (-5) (x)) (-3)) (2))|(= (x) (-1)),13,34.628571428571426
85,85.0,"x = ((1 - 2) / (-3))
",(= (x) (/ (- (1) (2)) (-3))),True,x = 1/3,(= (x) (/ (1) (3))),85.0,(= (-1) (+ (* (-2) (x)) (* (3) (x))))|(= (-1) (+ (* (-2) (x)) (* (3) (x))))|(= (x) (-1)),7,8.222222222222221
130,130.0,"1 = ((-2) + ((-3) / x))
",(= (1) (+ (-2) (/ (-3) (x)))),True,x = -1,(= (x) (-1)),130.0,(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4)))|(= (* (- (-1) (3)) (x)) (2))|(= (x) (/ (-1) (2))),10,29.666666666666668
208,208.0,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),True,x = 2,(= (x) (2)),208.0,unknown,unknown,unknown
71,71.0,"(-1x + 2) = (-3)
",(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5)),71.0,unknown,unknown,unknown
167,167.0,"1 = (-2x + (-3))
",(= (1) (+ (* (-2) (x)) (-3))),True,x = -2,(= (x) (-2)),167.0,(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (2) (x))) (4)) (-1))|(= (+ (* (-5) (x)) (4)) (-1))|(= (x) (1)),12,34.65714285714286
203,203.0,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),True,x = 0,(= (x) (0)),203.0,unknown,unknown,unknown
180,180.0,"(-1) = ((2x + 3) + 4x)
",(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3))),180.0,unknown,unknown,unknown
2,2.0,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3)),2.0,(= (- (* (1) (x)) (* (-2) (x))) (3))|(= (* (- (1) (-2)) (x)) (3))|(= (x) (1)),6,17.666666666666668
67,67.0,"-1x = -2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0)),67.0,(= (+ (-1) (* (-2) (x))) (3))|(= (+ (-1) (* (-2) (x))) (3))|(= (+ (* (-2) (x)) (- (-1) (-1))) (- (3) (-1)))|(= (x) (-2)),9,21.59090909090909
52,52.0,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),True,x = 11/8,(= (x) (/ (1) (1) (8))),52.0,(= (-1) (- (* (2) (x)) (3)))|(= (+ (- (0) (3)) (* (2) (x))) (-1))|(= (+ (* (2) (x)) (- (- (0) (3)) (- (0) (3)))) (- (-1) (- (0) (3))))|(= (x) (1)),20,23.166666666666668
99,99.0,"(-1) = ((-2) + (3 / x))
",(= (-1) (+ (-2) (/ (3) (x)))),True,x = 3,(= (x) (3)),99.0,(= (-1) (+ (2) (* (-3) (x))))|(= (+ (2) (* (-3) (x))) (-1))|(= (+ (* (-3) (x)) (- (2) (2))) (- (-1) (2)))|(= (x) (1)),12,23.5
154,154.0,"(-1x / (-2)) = (3 / (-4))
",(= (/ (* (-1) (x)) (-2)) (/ (3) (-4))),True,x = -3/2,(= (x) (/ (-3) (2))),154.0,unknown,unknown,unknown
15,15.0,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),True,x = -1/5,(= (x) (/ (-1) (5))),15.0,(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4)))|(= (+ (- (* (2) (x)) (* (3) (x))) (1)) (-4))|(= (+ (* (-1) (x)) (1)) (-4))|(= (x) (5)),12,25.53846153846154
265,265.0,"(1x - 2) = (-3)
",(= (- (* (1) (x)) (2)) (-3)),True,x = -1,(= (x) (-1)),265.0,unknown,unknown,unknown
201,201.0,"(-1) = (2x - 3)
",(= (-1) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1)),201.0,unknown,unknown,unknown
117,117.0,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2))),117.0,(= (+ (/ (-1) (x)) (-2)) (3))|3|(= (x) (/ (-1) (5))),6,40.853658536585364
283,283.0,x = (1 / 2),(= (x) (/ (1) (2))),True,x = 1/2,(= (x) (/ (1) (2))),283.0,unknown,unknown,unknown
226,226.0,"1 = (2 + -3x)
",(= (1) (+ (2) (* (-3) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),226.0,unknown,unknown,unknown
11,11.0,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7))),11.0,(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x))))|(= (+ (- (* (4) (x)) (* (-1) (x))) (3)) (2))|(= (+ (* (5) (x)) (3)) (2))|(= (x) (/ (-1) (5))),12,37.68421052631579
43,43.0,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),True,x = 1,(= (x) (1)),43.0,unknown,unknown,unknown
262,262.0,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1)),262.0,unknown,unknown,unknown
56,56.0,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 2,(= (x) (2)),56.0,unknown,unknown,unknown
12,12.0,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),12.0,(= (x) (/ (-1) (2)))|(= (x) (/ (-1) (2))),1,1.5
4,4.0,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1)),4.0,(= (/ (1) (x)) (- (-2) (3)))|0|(= (x) (/ (-1) (5))),4,31.875
145,145.0,"((1 / x) + (-2)) = (-3)
",(= (+ (/ (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1)),145.0,(= (- (-1) (* (2) (x))) (-3))|(= (+ (-3) (* (2) (x))) (-1))|(= (+ (* (2) (x)) (- (-3) (-3))) (- (-1) (-3)))|(= (x) (1)),9,21.59090909090909
35,35.0,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0)),35.0,(= (+ (* (-1) (x)) (* (2) (x))) (+ (-3) (4)))|(= (* (+ (-1) (2)) (x)) (+ (-3) (4)))|(= (x) (1)),6,9.4
93,93.0,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),True,x = -1,(= (x) (-1)),93.0,(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5)))|(= (+ (+ (3) (-1)) (* (2) (x))) (+ (4) (5)))|(= (+ (* (2) (x)) (- (+ (3) (-1)) (+ (3) (-1)))) (- (+ (4) (5)) (+ (3) (-1))))|(= (x) (/ (7) (2))),15,27.464285714285715
217,217.0,"(1 + -2x) = (3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1)),217.0,unknown,unknown,unknown
191,191.0,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),191.0,(= (* (-1) (x)) (- (2) (3)))|(= (* (-1) (x)) (- (2) (3)))|(= (x) (1)),3,13.785714285714286
257,257.0,"((-1) + -2x) = 3
",(= (+ (-1) (* (-2) (x))) (3)),True,x = -2,(= (x) (-2)),257.0,unknown,unknown,unknown
178,178.0,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3/2,(= (x) (/ (-3) (2))),178.0,(= (- (* (-1) (x)) (2)) (* (3) (x)))|(= (* (- (3) (-1)) (x)) (-2))|(= (x) (/ (-1) (2))),6,25.76923076923077
142,142.0,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),True,x = 2,(= (x) (2)),142.0,(= (x) (/ (+ (-1) (2)) (3)))|(= (x) (/ (+ (-1) (2)) (3)))|(= (x) (/ (1) (3))),3,3.25
73,73.0,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5))),73.0,unknown,unknown,unknown
146,146.0,"(1x / 2) = (3 / 4)
",(= (/ (* (1) (x)) (2)) (/ (3) (4))),True,x = 3/2,(= (x) (/ (3) (2))),146.0,unknown,unknown,unknown
269,269.0,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),True,x = 5,(= (x) (5)),269.0,unknown,unknown,unknown
189,189.0,"(-1) = (-2x + (-3))
",(= (-1) (+ (* (-2) (x)) (-3))),True,x = -1,(= (x) (-1)),189.0,unknown,unknown,unknown
223,223.0,"((-1) + ((-2) / x)) = 3
",(= (+ (-1) (/ (-2) (x))) (3)),True,x = -1/2,(= (x) (/ (-1) (2))),223.0,unknown,unknown,unknown
77,77.0,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),True,x = -3/2,(= (x) (/ (-3) (2))),77.0,unknown,unknown,unknown
263,263.0,"(-1x + 2x) = ((-3) - 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (- (-3) (4))),True,x = -7,(= (x) (-7)),263.0,unknown,unknown,unknown
17,17.0,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2))),17.0,(= (-1) (+ (* (-2) (x)) (3)))|(= (+ (* (-2) (x)) (3)) (-1))|(= (x) (2)),8,22.652173913043477
158,158.0,"(-1) = (((-2) / x) + 3)
",(= (-1) (+ (/ (-2) (x)) (3))),True,x = 1/2,(= (x) (/ (1) (2))),158.0,(= (+ (* (-1) (x)) (-2)) (3))|(= (+ (* (-1) (x)) (-2)) (3))|(= (+ (* (-1) (x)) (-2)) (3))|(= (x) (-5)),6,20.714285714285715
109,109.0,"((-1) + 2) = 3x
",(= (+ (-1) (2)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3))),109.0,(= (+ (1) (* (2) (x))) (* (-3) (x)))|(= (+ (- (* (2) (x)) (* (-3) (x))) (1)) (0))|(= (+ (* (5) (x)) (1)) (0))|(= (x) (/ (-1) (5))),12,24.52
115,115.0,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1)),115.0,unknown,unknown,unknown
20,20.0,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1)),20.0,(= (+ (/ (1) (x)) (-2)) (3))|3|(= (x) (/ (1) (5))),6,34.82857142857143
87,87.0,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),True,x = 2,(= (x) (2)),87.0,(= (1) (+ (-2) (* (3) (x))))|(= (+ (-2) (* (3) (x))) (1))|(= (+ (* (3) (x)) (- (-2) (-2))) (- (1) (-2)))|(= (x) (1)),12,25.53846153846154
23,23.0,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5))),23.0,(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-2) (x)) (* (-4) (x))) (1)) (-3))|(= (+ (* (2) (x)) (1)) (-3))|(= (x) (-2)),12,37.68421052631579
83,83.0,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2)),83.0,unknown,unknown,unknown
229,229.0,"(-1) = (-2x + 3x)
",(= (-1) (+ (* (-2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1)),229.0,unknown,unknown,unknown
28,28.0,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),True,x = -3,(= (x) (-3)),28.0,(= (1) (* (-2) (x)))|(= (* (-2) (x)) (1))|(= (x) (/ (-1) (2))),4,11.666666666666666
218,218.0,"1 = ((-2) + 3x)
",(= (1) (+ (-2) (* (3) (x)))),True,x = 1,(= (x) (1)),218.0,unknown,unknown,unknown
6,6.0,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1)),6.0,(= (+ (* (1) (x)) (2)) (-3))|(= (- (+ (* (1) (x)) (2)) (2)) (- (-3) (2)))|(= (x) (-5)),8,10.272727272727273
127,127.0,"1 = (2x / 3)
",(= (1) (/ (* (2) (x)) (3))),True,x = 3/2,(= (x) (/ (3) (2))),127.0,(= (-1) (+ (2) (* (3) (x))))|(= (+ (2) (* (3) (x))) (-1))|(= (+ (* (3) (x)) (- (2) (2))) (- (-1) (2)))|(= (x) (-1)),12,23.5
213,213.0,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),213.0,unknown,unknown,unknown
9,9.0,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),9.0,(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4)))|(= (+ (- (* (1) (x)) (* (2) (x))) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (+ (* (-1) (x)) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (x) (7)),26,28.103448275862068
63,63.0,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3)),63.0,unknown,unknown,unknown
205,205.0,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),True,x = 7/2,(= (x) (/ (7) (2))),205.0,unknown,unknown,unknown
236,236.0,"(-1) = -2x
",(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),236.0,unknown,unknown,unknown
120,120.0,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),120.0,(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (-2) (x))) (4)) (1))|(= (+ (* (-1) (x)) (4)) (1))|(= (x) (3)),12,35.666666666666664
44,44.0,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3/5,(= (x) (/ (-3) (5))),44.0,(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x))))|(= (+ (+ (* (4) (x)) (* (2) (x))) (3)) (-1))|(= (+ (* (6) (x)) (3)) (-1))|(= (x) (/ (-2) (3))),16,31.5
3,3.0,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1)),3.0,(= (-1) (+ (/ (-2) (x)) (-3)))|0|(= (x) (-1)),5,35.861111111111114
114,114.0,"(((-1) / x) * x) = 2x
",(= (* (/ (-1) (x)) (x)) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2))),114.0,unknown,unknown,unknown
209,209.0,"(-1) = (2 + -3x)
",(= (-1) (+ (2) (* (-3) (x)))),True,x = 1,(= (x) (1)),209.0,unknown,unknown,unknown
14,14.0,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9))),14.0,(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4)))|(= (+ (- (* (3) (x)) (* (-2) (x))) (-4)) (-1))|(= (+ (* (5) (x)) (-4)) (-1))|(= (x) (/ (3) (5))),12,34.65714285714286
72,72.0,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2)),72.0,(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4))|(= (+ (- (* (2) (x)) (* (3) (x))) (4)) (-1))|(= (+ (* (-1) (x)) (4)) (-1))|(= (x) (5)),9,21.59090909090909
152,152.0,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5/4,(= (x) (/ (5) (4))),152.0,(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4)))|(= (* (- (-1) (2)) (x)) (+ (-3) (4)))|(= (x) (/ (-1) (3))),6,18.68421052631579
