,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
46,(2 + 5x) = ((2x - 1x) - 6x),(= (+ (2) (* (5) (x))) (- (- (* (2) (x)) (* (1) (x))) (* (6) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
47,(2 - 5) = ((2x - 1) + 6x),(= (- (2) (5)) (+ (- (* (2) (x)) (1)) (* (6) (x)))),TRUE,x = -1/4,(= (x) (/ (-1) (4)))
48,(2x - 5x) = ((2 + 1x) + 6x),(= (- (* (2) (x)) (* (5) (x))) (+ (+ (2) (* (1) (x))) (* (6) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
49,((4 - 1x) - 2x) = ((-6x + 2) + 1x),(= (- (- (4) (* (1) (x))) (* (2) (x))) (+ (+ (* (-6) (x)) (2)) (* (1) (x)))),TRUE,x = -1,(= (x) (-1))
50,((4x - 1) + 2) = ((-6x - 2) - 1),(= (+ (- (* (4) (x)) (1)) (2)) (- (- (* (-6) (x)) (2)) (1))),TRUE,x = -2/5,(= (x) (/ (-2) (5)))
51,((4x - 1x) - 2x) = ((-6x - 2) + 1x),(= (- (- (* (4) (x)) (* (1) (x))) (* (2) (x))) (+ (- (* (-6) (x)) (2)) (* (1) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
52,((4 + 1x) - 2) = ((-6 - 2x) - 1x),(= (- (+ (4) (* (1) (x))) (2)) (- (- (-6) (* (2) (x))) (* (1) (x)))),TRUE,x = -2,(= (x) (-2))
53,((4 + 1x) - 2x) = ((-6 + 2) + 1),(= (- (+ (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (2)) (1))),TRUE,x = 7,(= (x) (7))
54,((4 - 1x) - 2x) = ((-6 + 2x) + 1x),(= (- (- (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (* (2) (x))) (* (1) (x)))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
55,((4 + 1x) - 2x) = ((-6 + 2) + 1x),(= (- (+ (4) (* (1) (x))) (* (2) (x))) (+ (+ (-6) (2)) (* (1) (x)))),TRUE,x = 4,(= (x) (4))
56,((4 + 1) + 2) = ((-2 - 2x) - 1x),(= (+ (+ (4) (1)) (2)) (- (- (-6) (* (2) (x))) (* (1) (x)))),TRUE,x = -3,(= (x) (-3))
57,((4x + 1) - 2x) = ((-6x - 2) - 1x),(= (- (+ (* (4) (x)) (1)) (* (2) (x))) (- (- (* (-6) (x)) (2)) (* (1) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
58,((4x - 1) + 2) = ((-6x - 2x) - 1),(= (+ (- (* (4) (x)) (1)) (2)) (- (- (* (-6) (x)) (* (2) (x))) (1))),TRUE,x = -1/6,(= (x) (/ (-1) (6)))
59,((4x + 1x) + 2x) = ((-6x - 2) - 1x),(= (+ (+ (* (4) (x)) (* (1) (x))) (* (2) (x))) (- (- (* (-6) (x)) (2)) (* (1) (x)))),TRUE,x = -1/7,(= (x) (/ (-1) (7)))
60,((4x + 1) + 2) = ((-1 - 2) + 1x),(= (+ (+ (* (4) (x)) (1)) (2)) (+ (- (-6) (2)) (* (1) (x)))),TRUE,x = -2,(= (x) (-2))
61,5=2x,(= (5) (* (2) (x))),TRUE,x = 5/2,(= (x) (/ (5) (2)))
62,5=(x*2),(= (5) (* (x) (2))),TRUE,x = 5/2,(= (x) (/ (5) (2)))
63,5=(x+5),(= (5) (+ (x) (5))),TRUE,x = 0,(= (x) (0))
64,8=(5+x),(= (8) (+ (5) (x))),TRUE,x = 3,(= (x) (3))
65,4x=6x,(= (* (4) (x)) (* (6) (x))),TRUE,x = 0,(= (x) (0))
66,5=(3/x),(= (5) (/ (3) (x))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
67,5=(3x+4),(= (5) (+ (* (3) (x)) (4))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
68,5=(4+3x),(= (5) (+ (4) (* (3) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
69,(2x+7x)=0,(= (+ (* (2) (x)) (* (7) (x))) (0)),TRUE,x = 0,(= (x) (0))
70, 5x=(3 + 6x) ,(= (* (5) (x)) (+ (3) (* (6) (x)))),TRUE,x = -3,(= (x) (-3))
71,6x=(5x+3),(= (* (6) (x)) (+ (* (5) (x)) (3))),TRUE,x = 3,(= (x) (3))
72,9=(3x/2),(= (9) (/ (* (3) (x)) (2))),TRUE,x = 6,(= (x) (6))
73,3=(5x/5),(= (3) (/ (* (5) (x)) (5))),TRUE,x = 3,(= (x) (3))
74,4x=1+2,(= (* (4) (x)) (+ (1) (2))),TRUE,x = 3/4,(= (x) (/ (3) (4)))
75,(3x+3)=(5x+1),(= (+ (* (3) (x)) (3)) (+ (* (5) (x)) (1))),TRUE,x = 1,(= (x) (1))
76,(3x+3)=(1+5x),(= (+ (* (3) (x)) (3)) (+ (1) (* (5) (x)))),TRUE,x = 1,(= (x) (1))
77,(3x+3)=((-1)+5x),(= (+ (* (3) (x)) (3)) (+ (-1) (* (5) (x)))),TRUE,x = 2,(= (x) (2))
78,(3+3x)=(1+5x),(= (+ (3) (* (3) (x))) (+ (1) (* (5) (x)))),TRUE,x = 1,(= (x) (1))
79,((-3)+3x)=(1+5x),(= (+ (-3) (* (3) (x))) (+ (1) (* (5) (x)))),TRUE,x = -2,(= (x) (-2))
80,(3+3x)=((-1)+5x),(= (+ (3) (* (3) (x))) (+ (-1) (* (5) (x)))),TRUE,x = 2,(= (x) (2))
81,((-3)+3x)=((-1)+5x),(= (+ (-3) (* (3) (x))) (+ (-1) (* (5) (x)))),TRUE,x = -1,(= (x) (-1))
82,3x=((5x+1)+3),(= (* (3) (x)) (+ (+ (* (5) (x)) (1)) (3))),TRUE,x = -2,(= (x) (-2))
83,3x=((1+5x)+3),(= (* (3) (x)) (+ (+ (1) (* (5) (x))) (3))),TRUE,x = -2,(= (x) (-2))
84,3x=(((-1)+5x)+3),(= (* (3) (x)) (+ (+ (-1) (* (5) (x))) (3))),TRUE,x = -1,(= (x) (-1))
85,9x=((5x+1)+3x),(= (* (9) (x)) (+ (+ (* (5) (x)) (1)) (* (3) (x)))),TRUE,x = 1,(= (x) (1))
86,9x=((1+5x)+3x),(= (* (9) (x)) (+ (+ (1) (* (5) (x))) (* (3) (x)))),TRUE,x = 1,(= (x) (1))
87, 8 =((x + 2x) + 5) ,(= (8) (+ (+ (x) (* (2) (x))) (5))),TRUE,x = 1,(= (x) (1))
88,5=((3x+4)+7),(= (5) (+ (+ (* (3) (x)) (4)) (7))),TRUE,x = -2,(= (x) (-2))
89,5=((4+3x)+7),(= (5) (+ (+ (4) (* (3) (x))) (7))),TRUE,x = -2,(= (x) (-2))
90, -2x=((4 / x)*x) ,(= (* (-2) (x)) (* (/ (4) (x)) (x))),TRUE,x = -2,(= (x) (-2))
91,3x=(((4/x)*x)+2x),(= (* (3) (x)) (+ (* (/ (4) (x)) (x)) (* (2) (x)))),TRUE,x = 4,(= (x) (4))
92,5=(((4/x)+1)*x),(= (5) (* (+ (/ (4) (x)) (1)) (x))),TRUE,x = 1,(= (x) (1))
93,7=((4/x)+3),(= (7) (+ (/ (4) (x)) (3))),TRUE,x = 1,(= (x) (1))
94, ((3 / x) - 4) =((-1) - 2) ,(= (- (/ (3) (x)) (4)) (- (-1) (2))),TRUE,x = 3,(= (x) (3))
95, (((3 / x) + 5) - 9)=((-1) - 2) ,(= (- (+ (/ (3) (x)) (5)) (9)) (- (-1) (2))),TRUE,x = 3,(= (x) (3))
96,(((-1x)+2)+6)=(2x+5x),(= (+ (+ (* (-1) (x)) (2)) (6)) (+ (* (2) (x)) (* (5) (x)))),TRUE,x = 1,(= (x) (1))
97,(((-1)+2x)+6x)=(2+5),(= (+ (+ (-1) (* (2) (x))) (* (6) (x))) (+ (2) (5))),TRUE,x = 1,(= (x) (1))
98,(((-1x)+2x)+6x)=(2+5),(= (+ (+ (* (-1) (x)) (* (2) (x))) (* (6) (x))) (+ (2) (5))),TRUE,x = 1,(= (x) (1))
99,(((-1x)+2)+6)=(2x+5),(= (+ (+ (* (-1) (x)) (2)) (6)) (+ (* (2) (x)) (5))),TRUE,x = 1,(= (x) (1))
100, (-4x + 9) =(((-1) + 4x) + 2x) ,(= (+ (* (-4) (x)) (9)) (+ (+ (-1) (* (4) (x))) (* (2) (x)))),TRUE,x = 1,(= (x) (1))
101, ((2x - 1x) - 6)=(2x - 5x) ,(= (- (- (* (2) (x)) (* (1) (x))) (6)) (- (* (2) (x)) (* (5) (x)))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
102, ((2 + 1x) - 6x)=(2x - 5) ,(= (- (+ (2) (* (1) (x))) (* (6) (x))) (- (* (2) (x)) (5))),TRUE,x = 1,(= (x) (1))
103, ((2 - 1x) + 6)=(2 - 5) ,(= (+ (- (2) (* (1) (x))) (6)) (- (2) (5))),TRUE,x = 11,(= (x) (1) (1))
104, ((2 - 1x) + 6)=(2 + 5x) ,(= (+ (- (2) (* (1) (x))) (6)) (+ (2) (* (5) (x)))),TRUE,x = 1,(= (x) (1))
105, ((2 - 1x) + 6)=(2x - 5x) ,(= (+ (- (2) (* (1) (x))) (6)) (- (* (2) (x)) (* (5) (x)))),TRUE,x = -4,(= (x) (-4))
106, ((2x - 1) - 6x)=(2x - 5) ,(= (- (- (* (2) (x)) (1)) (* (6) (x))) (- (* (2) (x)) (5))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
107, ((2x - 1x) - 6x)=(2 + 5x) ,(= (- (- (* (2) (x)) (* (1) (x))) (* (6) (x))) (+ (2) (* (5) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
108, ((2x - 1) + 6x)=(2 - 5) ,(= (+ (- (* (2) (x)) (1)) (* (6) (x))) (- (2) (5))),TRUE,x = -1/4,(= (x) (/ (-1) (4)))
109, ((2 + 1x) + 6x)=(2x - 5x) ,(= (+ (+ (2) (* (1) (x))) (* (6) (x))) (- (* (2) (x)) (* (5) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
110, ((-6x + 2) + 1x)=((4 - 1x) - 2x) ,(= (+ (+ (* (-6) (x)) (2)) (* (1) (x))) (- (- (4) (* (1) (x))) (* (2) (x)))),TRUE,x = -1,(= (x) (-1))
111, ((-6x - 2) - 1)=((4x - 1) + 2) ,(= (- (- (* (-6) (x)) (2)) (1)) (+ (- (* (4) (x)) (1)) (2))),TRUE,x = -2/5,(= (x) (/ (-2) (5)))
112, ((-6x - 2) + 1x)=((4x - 1x) - 2x) ,(= (+ (- (* (-6) (x)) (2)) (* (1) (x))) (- (- (* (4) (x)) (* (1) (x))) (* (2) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
113, ((-6 - 2x) - 1x)=((4 + 1x) - 2) ,(= (- (- (-6) (* (2) (x))) (* (1) (x))) (- (+ (4) (* (1) (x))) (2))),TRUE,x = -2,(= (x) (-2))
114, ((-6 + 2) + 1)=((4 + 1x) - 2x) ,(= (+ (+ (-6) (2)) (1)) (- (+ (4) (* (1) (x))) (* (2) (x)))),TRUE,x = 7,(= (x) (7))
115, ((-6 + 2x) + 1x)=((4 - 1x) - 2x) ,(= (+ (+ (-6) (* (2) (x))) (* (1) (x))) (- (- (4) (* (1) (x))) (* (2) (x)))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
116, ((-6 + 2) + 1x)=((4 + 1x) - 2x) ,(= (+ (+ (-6) (2)) (* (1) (x))) (- (+ (4) (* (1) (x))) (* (2) (x)))),TRUE,x = 4,(= (x) (4))
117, ((-2 - 2x) - 1x)=((4 + 1) + 2) ,(= (- (- (-6) (* (2) (x))) (* (1) (x))) (+ (+ (4) (1)) (2))),TRUE,x = -3,(= (x) (-3))
118, ((-6x - 2) - 1x)=((4x + 1) - 2x) ,(= (- (- (* (-6) (x)) (2)) (* (1) (x))) (- (+ (* (4) (x)) (1)) (* (2) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
119, ((-6x - 2x) - 1)=((4x - 1) + 2) ,(= (- (- (* (-6) (x)) (* (2) (x))) (1)) (+ (- (* (4) (x)) (1)) (2))),TRUE,x = -1/6,(= (x) (/ (-1) (6)))
120, ((-6x - 2) - 1x)=((4x + 1x) + 2x) ,(= (- (- (* (-6) (x)) (2)) (* (1) (x))) (+ (+ (* (4) (x)) (* (1) (x))) (* (2) (x)))),TRUE,x = -1/7,(= (x) (/ (-1) (7)))
121, ((-1 - 2) + 1x)=((4x + 1) + 2) ,(= (+ (- (-6) (2)) (* (1) (x))) (+ (+ (* (4) (x)) (1)) (2))),TRUE,x = -2,(= (x) (-2))
122,(x + 3x) = 4,(= (+ (x) (* (3) (x))) (4)),TRUE,x = 1,(= (x) (1))
